dataset.max_df,dataset.min_df,dataset.window_size,dirichlet_loss,div_loss,fcm.embed_dim,fcm.eta,fcm.hidden_size,fcm.inductive,fcm.inductive_dropout,fcm.lam,fcm.nconcepts,fcm.nnegs,fcm.num_layers,fcm.rho,fit.batch_size,fit.grad_clip,fit.lr,fit.nepochs,fit.pred_only_epochs,id,pred_loss,run_time,sgns_loss,test_auc,total_loss,train_auc
0.8,0.01,4,-103.61633278121401,-20.187499068337747,50,1,100,True,0.01,10,2,15,1,1,16384,1024,0.01,30,15,cdd276eeb57120ee010b39cd30366e30,3.639404170669111,164.56546445999993,14.90146954048906,0.1781227794619077,-104.23848067027743,0.17419501047579483
0.8,0.01,4,-10.360695589468818,-2061.699692017108,50,100,100,True,0.01,1,2,15,1,1,16384,1024,0.01,30,15,cf37b5978d37a6d8cfec4911702cccd2,0.2561310279257608,165.38786228000026,14.892140926533989,0.9966602468088152,-2049.644009767476,0.9954237055662717
0.8,0.01,4,-103.61587052028675,-2061.8961515978517,50,100,100,True,0.01,10,2,15,1,100,16384,1024,0.01,30,15,d4eb0f0b5cd18de4e6231b79edcf6787,250.48156683451717,166.93692200899977,14.976389337205756,0.9970299104883522,-1885.5588272072948,0.9969367147654997
0.8,0.01,4,-1036.1631246195668,-20.18592341397916,50,1,100,True,0.01,100,2,15,1,10,16384,1024,0.01,30,15,db6a5e29a8bbb017edc27b49efcf2384,41.61372525838678,125.09991069900025,14.906156708298697,0.9985679925568842,-998.1815417799232,0.9979353219352536
0.8,0.01,4,-10361.632889919676,-20.188360563736403,50,1,100,True,0.01,1000,2,15,1,100,16384,1024,0.01,30,15,dd0c57672414857f583e28a098404ab6,30.771202344287847,168.20036402999995,14.903554767372304,0.9934642694653327,-10336.140922255085,0.9942612369096181
0.8,0.01,4,-10.339704629511418,-20.189266660772862,50,1,100,True,0.01,1,2,15,1,1000,16384,1024,0.01,30,15,dfbe6366fae8266f394c0fa2f702425d,1376.6122022819923,126.16401862700013,15.546634041764582,0.9968474749127121,1361.9918010422791,0.9971433965976252
0.8,0.01,4,-10.360019419585067,-205.86354392669713,50,10,100,True,0.01,1,2,15,1,1,16384,1024,0.01,30,15,dfd9cf3b8f36fe75184dd2213f2c8643,3.7795895443867003,124.71422210499986,14.899244823891971,0.9994795314313173,-197.4678849047272,0.9992541966829188
0.8,0.01,4,-103.6162797205572,-205.8723822623785,50,10,100,True,0.01,10,2,15,1,1,16384,1024,0.01,30,15,e0ea073e38a582ce7a93ac39d53c634c,6.426951751185453,124.99583880399996,14.896206081913066,0.9984373162864169,-287.7517889488698,0.9977218643147567
0.8,0.01,4,-1035.9972693785023,0.49681333391954147,50,1,100,True,0.01,100,2,15,1,1000,16384,1024,0.01,30,15,e3f20cb98c948e8034dd842bad76ba24,495.4806173054498,124.67222668300019,14.86130241300435,0.9974979807480944,-524.7380933584557,0.998211141152919
0.8,0.01,4,-10361.632889919676,-20621.972226050988,50,1000,100,True,0.01,1000,2,15,1,100,16384,1024,0.01,30,15,e6c07a8812025cace2e2f33f738d19e0,26.02506179538182,125.17095932800021,14.896793558917583,0.9940216405015924,-30939.029957013907,0.9952102530174727
0.8,0.01,4,-10361.63290442198,-205.86859938989213,50,10,100,True,0.01,1000,2,15,1,100,16384,1024,0.01,30,15,e723316e537e3d76d121406e83ef28fa,73.33372959981199,167.31246765499998,14.897526922252862,0.9983079180234847,-10428.709733447013,0.9990996924786131
0.8,0.01,4,-10361.632831910463,-20.187074612001105,50,1,100,True,0.01,1000,2,15,1,10,16384,1024,0.01,30,15,eb92b460d28c032ce7a0fa35f0e74431,36.329051035914596,129.95490889999996,14.903865393831714,0.9973887111038408,-10327.96237190505,0.9961343468019302
0.8,0.01,4,-10.361633333899185,-2061.9744187780057,50,100,100,True,0.01,1,2,15,1,1000,16384,1024,0.01,30,15,f47d291d44f8d5e90098eedca2a83a79,1555.2913764637663,124.70369624400018,14.89763416017242,0.9956889610821146,-500.4740445955502,0.9955050048833349
0.8,0.01,4,-10361.63286091507,-20.18626275863566,50,1,100,True,0.01,1000,2,15,1,1,16384,1024,0.01,30,15,f487cc3818177cb2d21d8e4df2d4cabc,0.8726540488043415,167.04480352099972,14.903002012322847,0.9871582607851055,-10366.040182197701,0.99049308203165
0.8,0.01,4,-103.61627744242219,-20620.129298399937,50,1000,100,True,0.01,10,2,15,1,1,16384,1024,0.01,30,15,f5f8c9fd89fc0eea837154747afcb7ac,10.28221004283153,167.85298837799996,14.890363973983835,0.9984877975840545,-20698.071759187955,0.9978328685663205
0.8,0.01,4,-10.361633291411968,0.4922798717567587,50,1,100,True,0.01,1,2,15,1,100,16384,1024,0.01,30,15,fa57850092430549585efd29f7734d87,48.52161371971678,171.140253369,14.834507661141991,0.9957159589912941,53.63170543742584,0.9968639764744626
0.8,0.01,4,-1036.1633379427967,-2061.8365489884277,50,100,100,True,0.01,100,2,15,1,10,16384,1024,0.01,30,15,fa69f50194f011bcc938ec74a8fde6ea,12.081092062195385,132.42222019200017,14.897049587752525,0.9991536395098586,-3070.0034426382513,0.999144455284128
0.8,0.01,4,-10.35821655370645,-20620.01606578718,50,1000,100,True,0.01,1,2,15,1,1,16384,1024,0.01,30,15,fbb378324f3cd45bfed6e9299076b311,0.44694873720283956,127.18961032900006,14.897002150865724,0.9898984686913713,-20615.00749609621,0.9921645361444389
